Address,City,State,ZIP,Desc,Detail,Price Num,Num Photos Text,Num Photos,Photo URL,Pg Number
Rose Pl,Kalamazoo,MI,49001,Pre-Foreclosure (Auction),Foreclosure Est. $80K · -- bds · -- ba · -- sqft; 347 days on Zillow·Sign in for details,80,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.283000,-85.585000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",5
711 Garland Cir APT B,Kalamazoo,MI,49008,Foreclosed,"Foreclosure Est. $50K · -- bds · -- ba · -- sqft; 1607 days on Zillow·711 Garland Cir APT B, Kalamazoo, MI",50,1 photo,1,https://photos.zillowstatic.com/p_e/IS-1bhcx0d0gz9zx.jpg,5
112 Millview Ave,Kalamazoo,MI,49001,Foreclosed,"Foreclosure Est. $60K · 3 bds · 1 ba · 1,060 sqft; 3835 days on Zillow·112 Millview Ave, Kalamazoo, MI",60,9 photos,9,https://photos.zillowstatic.com/p_e/IS-jwl8cbzrqjq5.jpg,5
2206 Miller Rd,Kalamazoo,MI,49001,Foreclosed,"Foreclosure Est. $77K · 3 bds · 1 ba · 1,325 sqft; 32 days on Zillow·2206 Miller Rd, Kalamazoo, MI",77,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.267000,-85.552000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",6
N Park St,Kalamazoo,MI,49007,Pre-Foreclosure (Auction),-- bds · -- ba · -- sqft; 221 days on Zillow·Sign in for details,,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.306000,-85.588000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",6
Random Rd,Kalamazoo,MI,49004,Pre-Foreclosure (Auction),-- bds · -- ba · -- sqft; 53 days on Zillow·Sign in for details,,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.324000,-85.553000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",6
E Alcott St,Kalamazoo,MI,49001,Pre-Foreclosure (Auction),Foreclosure Est. $54K · -- bds · -- ba · -- sqft; 389 days on Zillow·Sign in for details,54,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.271000,-85.561000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",6
W Lovell St,Kalamazoo,MI,49007,Pre-Foreclosure (Auction),Foreclosure Est. $150K · -- bds · -- ba · -- sqft; 683 days on Zillow·Sign in for details,150,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.289000,-85.594000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",6
E Stockbridge Ave,Kalamazoo,MI,49001,Pre-Foreclosure (Auction),-- bds · -- ba · -- sqft; 46 days on Zillow·Sign in for details,,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.277000,-85.555000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",6
Douglas Ave,Kalamazoo,MI,49007,Pre-Foreclosure (Auction),-- bds · -- ba · -- sqft; 249 days on Zillow·Sign in for details,,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.304000,-85.603000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",6
W Vine St,Kalamazoo,MI,49001,Pre-Foreclosure (Auction),-- bds · -- ba · -- sqft; 725 days on Zillow·Sign in for details,,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.284000,-85.585000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",6
Crosswind Dr,Kalamazoo,MI,49008,Pre-Foreclosure (Auction),Foreclosure Est. $311K · -- bds · -- ba · -- sqft; 284 days on Zillow·Sign in for details,311,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.270000,-85.617000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",6
461 Egleston Ave,Kalamazoo,MI,49001,Foreclosed,"Foreclosure Est. $85K · 3 bds · 1 ba · 6,098 sqft; 3602 days on Zillow·461 Egleston Ave, Kalamazoo, MI",85,28 photos,28,https://photos.zillowstatic.com/p_e/IS421x6vgkm46b.jpg,6
Lake St,Kalamazoo,MI,49001,Pre-Foreclosure (Auction),Foreclosure Est. $41K · -- bds · -- ba · -- sqft; 606 days on Zillow·Sign in for details,41,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.281000,-85.566000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",6
526 Bosker Ave,Kalamazoo,MI,49007,House For Sale,"$36,4504 bds · 2 ba · 1,188 sqft; $5,050 (Apr 1)·526 Bosker Ave, Kalamazoo, MI",364504; 5050,36 photos,36,https://photos.zillowstatic.com/p_e/IS6moz21jkhxif1000000000.jpg,6
803 Grand Pre Ave,Kalamazoo,MI,49006,Foreclosed,"Foreclosure Est. $121K · 4 bds · -- ba · 1,598 sqft; 68 days on Zillow·803 Grand Pre Ave, Kalamazoo, MI",121,23 photos,23,https://photos.zillowstatic.com/p_e/ISq1ehwjxvaape1000000000.jpg,6
Ash St,Kalamazoo,MI,49001,Pre-Foreclosure (Auction),Foreclosure Est. $79K · -- bds · -- ba · -- sqft; 578 days on Zillow·Sign in for details,79,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.253000,-85.583000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",6
Fairfax Ave,Kalamazoo,MI,49001,Pre-Foreclosure (Auction),Foreclosure Est. $103K · -- bds · -- ba · -- sqft; 291 days on Zillow·Sign in for details,103,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.261000,-85.588000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",6
Jefferson Ave,Kalamazoo,MI,49006,Pre-Foreclosure (Auction),Foreclosure Est. $61K · -- bds · -- ba · -- sqft; 662 days on Zillow·Sign in for details,61,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.297000,-85.608000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",6
Bryant St,Kalamazoo,MI,49001,Pre-Foreclosure (Auction),Foreclosure Est. $43K · -- bds · -- ba · -- sqft; 627 days on Zillow·Sign in for details,43,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.272000,-85.571000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",6
1515 S Burdick St,Kalamazoo,MI,49001,Foreclosed,"Foreclosure Est. $53K · -- bds · -- ba · -- sqft; 3555 days on Zillow·1515 S Burdick St, Kalamazoo, MI",53,1 photo,1,https://photos.zillowstatic.com/p_e/IS-1e63qe4n3hq3h.jpg,6
Linton St,Kalamazoo,MI,49001,Pre-Foreclosure (Auction),-- bds · -- ba · -- sqft; 46 days on Zillow·Sign in for details,,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.283000,-85.565000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",6
Staples Ave,Kalamazoo,MI,49007,Pre-Foreclosure (Auction),Foreclosure Est. $57K · -- bds · -- ba · -- sqft; 648 days on Zillow·Sign in for details,57,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.299000,-85.597000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",6
Lorraine Ave,Kalamazoo,MI,49008,Pre-Foreclosure (Auction),Foreclosure Est. $113K · -- bds · -- ba · -- sqft; 725 days on Zillow·Sign in for details,113,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.263000,-85.626000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",6
Lafayette Ave,Kalamazoo,MI,49006,Pre-Foreclosure (Auction),-- bds · -- ba · -- sqft; 298 days on Zillow·Sign in for details,,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.278000,-85.623000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",6
N Edwards St,Kalamazoo,MI,49007,Pre-Foreclosure (Auction),-- bds · -- ba · -- sqft; 718 days on Zillow·Sign in for details,,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.309000,-85.581000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",6
N Edwards St,Kalamazoo,MI,49007,Pre-Foreclosure (Auction),Foreclosure Est. $33K · -- bds · -- ba · -- sqft; 508 days on Zillow·Sign in for details,33,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.309000,-85.581000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",6
809 W Lovell St,Kalamazoo,MI,49007,Foreclosed,"Foreclosure Est. $53K · 1 bd · 1 ba · -- sqft; 4970 days on Zillow·809 W Lovell St, Kalamazoo, MI",53,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.289000,-85.594000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",6
Knox St,Kalamazoo,MI,49008,Pre-Foreclosure (Auction),Foreclosure Est. $60K · -- bds · -- ba · -- sqft; 473 days on Zillow·Sign in for details,60,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.258000,-85.627000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",6
Barrington Dr,Kalamazoo,MI,49006,Pre-Foreclosure (Auction),-- bds · -- ba · -- sqft; 67 days on Zillow·Sign in for details,,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.284000,-85.633000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",7
Douglas Ave,Kalamazoo,MI,49007,Pre-Foreclosure (Auction),Foreclosure Est. $187K · -- bds · -- ba · -- sqft; 165 days on Zillow·Sign in for details,187,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.304000,-85.603000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",7
March St,Kalamazoo,MI,49001,Pre-Foreclosure (Auction),Foreclosure Est. $44K · -- bds · -- ba · -- sqft; 655 days on Zillow·Sign in for details,44,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.278000,-85.563000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",7
1252 King Hwy,Kalamazoo,MI,49001,Foreclosed,"Foreclosure Est. $72K · -- bds · -- ba · -- sqft; 4929 days on Zillow·1252 King Hwy, Kalamazoo, MI",72,1 photo,1,https://photos.zillowstatic.com/p_e/IS-1e63r2wh2eixp.jpg,7
Oakland Dr,Kalamazoo,MI,49008,Pre-Foreclosure (Auction),-- bds · -- ba · -- sqft; 305 days on Zillow·Sign in for details,,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.258000,-85.614000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",7
Clinton Ave,Kalamazoo,MI,49001,Pre-Foreclosure (Auction),Foreclosure Est. $57K · -- bds · -- ba · -- sqft; 606 days on Zillow·Sign in for details,57,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.276000,-85.565000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",7
Gull Rd,Kalamazoo,MI,49048,Pre-Foreclosure,-- bds · -- ba · -- sqft; 110 days on Zillow·Sign in for details,,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.300000,-85.571000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",7
Clinton Ave,Kalamazoo,MI,49001,Pre-Foreclosure (Auction),Foreclosure Est. $52K · -- bds · -- ba · -- sqft; 543 days on Zillow·Sign in for details,52,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.275000,-85.573000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",7
2226 S Westnedge Ave,Kalamazoo,MI,49008,Foreclosed,"Foreclosure Est. $178K · 4 bds · 1 ba · 2,758 sqft; 54 days on Zillow·2226 S Westnedge Ave, Kalamazoo, MI",178,1 photo,1,https://photos.zillowstatic.com/p_e/ISqdfesznp5u3f1000000000.jpg,7
2334 Amherst Ave,Kalamazoo,MI,49008,Lot/Land For Sale,"$15,2007,187 sqft lot; 115 days on Zillow·2334 Amherst Ave, Kalamazoo, MI; Five Star Real Estate",152007187,3 photos,3,https://photos.zillowstatic.com/p_e/ISuomqcrvfxawr0000000000.jpg,7
Edgemoor Ave,Kalamazoo,MI,49001,Pre-Foreclosure (Auction),Foreclosure Est. $122K · -- bds · -- ba · -- sqft; 46 days on Zillow·Sign in for details,122,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.265000,-85.587000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",7
Alpine St,Kalamazoo,MI,49004,Pre-Foreclosure (Auction),Foreclosure Est. $73K · -- bds · -- ba · -- sqft; 375 days on Zillow·Sign in for details,73,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.321000,-85.551000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",7
E Belmont St,Kalamazoo,MI,49001,Pre-Foreclosure (Auction),Foreclosure Est. $43K · -- bds · -- ba · -- sqft; 431 days on Zillow·Sign in for details,43,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.272000,-85.582000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",7
2706 Glendale Blvd,Kalamazoo,MI,49004,Foreclosed,"Foreclosure Est. $75K · -- bds · -- ba · -- sqft; 54 days on Zillow·2706 Glendale Blvd, Kalamazoo, MI",75,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.326000,-85.547000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",7
Clinton Ave,Kalamazoo,MI,49001,Pre-Foreclosure (Auction),Foreclosure Est. $45K · -- bds · -- ba · -- sqft; 564 days on Zillow·Sign in for details,45,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.276000,-85.567000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",7
1215 Egleston Ave,Kalamazoo,MI,49001,Foreclosed,"Foreclosure Est. $66K · -- bds · -- ba · -- sqft; 2041 days on Zillow·1215 Egleston Ave, Kalamazoo, MI",66,1 photo,1,https://photos.zillowstatic.com/p_e/IS-jwl8p9n2bhwd.jpg,7
Palmer Ave,Kalamazoo,MI,49001,Pre-Foreclosure (Auction),Foreclosure Est. $40K · -- bds · -- ba · -- sqft; 368 days on Zillow·Sign in for details,40,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.270000,-85.566000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",7
Hazard Ave,Kalamazoo,MI,49048,Pre-Foreclosure (Auction),Foreclosure Est. $72K · -- bds · -- ba · -- sqft; 655 days on Zillow·Sign in for details,72,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.302000,-85.559000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",7
458 E Stockbridge Ave,Kalamazoo,MI,49001,Foreclosed,"Foreclosure Est. $53K · 3 bds · 1.5 ba · 1,335 sqft; 1702 days on Zillow·458 E Stockbridge Ave, Kalamazoo, MI",53,24 photos,24,https://photos.zillowstatic.com/p_e/IStshpbnvzpanm0000000000.jpg,7
W Kilgore Rd,Kalamazoo,MI,49008,Pre-Foreclosure (Auction),Foreclosure Est. $135K · -- bds · -- ba · -- sqft; 494 days on Zillow·Sign in for details,135,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.245000,-85.602000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",7
Duke St,Kalamazoo,MI,49008,Pre-Foreclosure (Auction),-- bds · -- ba · -- sqft; 32 days on Zillow·Sign in for details,,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.254000,-85.594000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",7
E Cork St,Kalamazoo,MI,49001,Pre-Foreclosure (Auction),-- bds · -- ba · -- sqft; 291 days on Zillow·Sign in for details,,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.260000,-85.565000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",7
Nellbert St,Kalamazoo,MI,49001,Pre-Foreclosure,-- bds · -- ba · -- sqft; 111 days on Zillow·Sign in for details,,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.263000,-85.552000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",7
Mayfair St,Kalamazoo,MI,49001,Pre-Foreclosure (Auction),-- bds · -- ba · -- sqft; 39 days on Zillow·Sign in for details,,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.248000,-85.555000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",7
Carleton Ave,Kalamazoo,MI,49048,Pre-Foreclosure (Auction),Foreclosure Est. $41K · -- bds · -- ba · -- sqft; 536 days on Zillow·Sign in for details,41,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.281000,-85.543000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",7
Campbell Ave,Kalamazoo,MI,49006,Pre-Foreclosure (Auction),-- bds · -- ba · -- sqft; 256 days on Zillow·Sign in for details,,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.301000,-85.616000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",7
Emerald Dr,Kalamazoo,MI,49001,Pre-Foreclosure (Auction),Foreclosure Est. $68K · -- bds · -- ba · -- sqft; 431 days on Zillow·Sign in for details,68,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.262000,-85.551000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",8
Parker Ave,Kalamazoo,MI,49008,Pre-Foreclosure (Auction),-- bds · -- ba · -- sqft; 88 days on Zillow·Sign in for details,,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.254000,-85.590000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",8
3514 Stonegate Rd,Kalamazoo,MI,49004,Foreclosed,"Foreclosure Est. $132K · 4 bds · 2.5 ba · 1,500 sqft; 46 days on Zillow·3514 Stonegate Rd, Kalamazoo, MI",132,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.326000,-85.630000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",8
Garfield Ave,Kalamazoo,MI,49001,Pre-Foreclosure (Auction),Foreclosure Est. $43K · -- bds · -- ba · -- sqft; 515 days on Zillow·Sign in for details,43,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.256000,-85.586000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",8
Fairfax Ave,Kalamazoo,MI,49001,Pre-Foreclosure (Auction),-- bds · -- ba · -- sqft; 690 days on Zillow·Sign in for details,,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.261000,-85.585000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",8
Denway Dr,Kalamazoo,MI,49008,Pre-Foreclosure (Auction),Foreclosure Est. $71K · -- bds · -- ba · -- sqft; 424 days on Zillow·Sign in for details,71,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.252000,-85.593000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",8
Fairbanks Ave,Kalamazoo,MI,49048,Pre-Foreclosure (Auction),-- bds · -- ba · -- sqft; 263 days on Zillow·Sign in for details,,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.300000,-85.562000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",8
Treehaven Dr,Kalamazoo,MI,49008,Pre-Foreclosure (Auction),-- bds · -- ba · -- sqft; 256 days on Zillow·Sign in for details,,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.269000,-85.624000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",8
Burr Oak St,Kalamazoo,MI,49001,Pre-Foreclosure (Auction),Foreclosure Est. $62K · -- bds · -- ba · -- sqft; 354 days on Zillow·Sign in for details,62,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.282000,-85.586000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",8
Nora St,Kalamazoo,MI,49001,Pre-Foreclosure (Auction),Foreclosure Est. $77K · -- bds · -- ba · -- sqft; 704 days on Zillow·Sign in for details,77,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.266000,-85.557000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",8
1009 Jackson St,Kalamazoo,MI,49001,For Sale by Owner,"$49,0003 bds · 1 ba · 786 sqft; 191 days on Zillow·1009 Jackson St, Kalamazoo, MI",490003,15 photos,15,https://photos.zillowstatic.com/p_e/IS6e6s2zo18vnl1000000000.jpg,8
Ferdon Rd,Kalamazoo,MI,49008,Pre-Foreclosure (Auction),Foreclosure Est. $77K · -- bds · -- ba · -- sqft; 326 days on Zillow·Sign in for details,77,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.262000,-85.624000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",8
318 Pratt Rd,Kalamazoo,MI,49001,Foreclosed,"Foreclosure Est. $71K · 2 bds · 1 ba · 816 sqft; 3423 days on Zillow·318 Pratt Rd, Kalamazoo, MI",71,5 photos,5,https://photos.zillowstatic.com/p_e/IS12hydvbwq6mqr.jpg,8
Roxbury Ln,Kalamazoo,MI,49008,Pre-Foreclosure (Auction),-- bds · -- ba · -- sqft; 263 days on Zillow·Sign in for details,,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.248000,-85.627000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",8
Douglas,Kalamazoo,MI,49004,Lot/Land For Sale,"$16,0001.13 ac lot; 45 days on Zillow·Douglas, Kalamazoo, MI; Michigan Lifestyle Properties / Lake to Lake Realty",160001.13,4 photos,4,https://photos.zillowstatic.com/p_e/ISm6bvribsx6at0000000000.jpg,8
210 Albany St,KALAMAZOO,MI,49001,Auction,"$4K9,147 sqft lot; $1,500 (Apr 2)·210 Albany St, Kalamazoo, MI; Evenboer-Walton, REALTORS",4; 1500,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.259000,-85.585000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",8
