Address,City,State,ZIP,Desc,Detail,Price Num,Num Photos Text,Num Photos,Photo URL,Pg Number
2217 Red Cherry Ln,Kalamazoo,MI,49004,House For Sale,"$33,9002 bds · 1 ba · 1,252 sqft; 13 days on Zillow·2217 Red Cherry Ln, Kalamazoo, MI",339002,11 photos,11,https://photos.zillowstatic.com/p_e/IS2blqbh8liovr1000000000.jpg,3
404 W Hopkins St,Kalamazoo,MI,49007,Auction,"$37K2 bds · 1 ba · 780 sqft; 12 days on Zillow·404 W Hopkins St, Kalamazoo, MI",37,4 photos,4,https://photos.zillowstatic.com/p_e/ISmuln336mqrik1000000000.jpg,3
3833 Greenleaf Cir,Kalamazoo,MI,49008,Condo For Sale,"$139,9002 bds · 3 ba · 1,562 sqft; 11 days on Zillow·3833 Greenleaf Cir, Kalamazoo, MI; Greenleaf Realty Properties LLC",1399002,21 photos,21,https://photos.zillowstatic.com/p_e/ISmys3kpnlte3l0000000000.jpg,3
1230 Edgemoor Ave,Kalamazoo,MI,49008,House For Sale,"$899,0005 bds · 5 ba · 13,479 sqft; $11,000 (Apr 6)·1230 Edgemoor Ave, Kalamazoo, MI; Chuck Jaqua, REALTOR, Inc.",8990005; 11000,64 photos,64,https://photos.zillowstatic.com/p_e/IS2fci62eu569d1000000000.jpg,3
1412 E Main St,Kalamazoo,MI,49048,Auction,"$49K4 bds · 2 ba · 1,565 sqft; 23 days on Zillow·1412 E Main St, Kalamazoo, MI",49,7 photos,7,https://photos.zillowstatic.com/p_e/ISmq2qlad200as1000000000.jpg,3
E Main St,Kalamazoo,MI,49048,Foreclosure,"-- bds · -- ba · -- sqft; 277 days on Zillow·E Main St, Kalamazoo, MI",,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.297000,-85.562000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",3
619 Elm St,Kalamazoo,MI,49007,House For Sale,"$79,9003 bds · 2 ba · 1,226 sqft; 13 days on Zillow·619 Elm St, Kalamazoo, MI",799003,17 photos,17,https://photos.zillowstatic.com/p_e/IS6y9cg0nn7b3s0000000000.jpg,3
914 Clarence St,Kalamazoo,MI,49001,House For Sale,"$39,9004 bds · 2 ba · 1,231 sqft; $359,100 (Mar 20)·914 Clarence St, Kalamazoo, MI; Randall J Baas, REALTOR",399004; 359100,1 photo,1,https://photos.zillowstatic.com/p_e/IS2vgw4f48gjl71000000000.jpg,3
116 Pine Cove Cir,Kalamazoo,MI,49006,Condo For Sale,"$210,0003 bds · 3 ba · 2,555 sqft; 11 days on Zillow·116 Pine Cove Cir, Kalamazoo, MI; RE/MAX of Kalamazoo",2100003,33 photos,33,https://photos.zillowstatic.com/p_e/ISe4g7kf8m8umu1000000000.jpg,3
4040 Greenleaf Cir APT 402,Kalamazoo,MI,49008,Condo For Sale,"$248,5002 bds · 2 ba · 2,023 sqft; 16 days on Zillow·4040 Greenleaf Cir APT 402, Kalamazoo, MI; Greenleaf Realty Properties LLC",2485002,30 photos,30,https://photos.zillowstatic.com/p_e/ISifvt5139u7740000000000.jpg,3
